,Title,Monitor,Processor,RAM,Dysk,GPU,System,Prices
138,ASUS ZenBook 13 UX325EA-EG027T FHD i5-1135G7,"13.3"" (1920 x 1080 (Full HD))",Intel® Core™ i5-1135G7,16 GB DDR4,"M.2 PCIe , NVMe , 512 GB",Intel Iris Xe,Windows 10 Home PL,4299
139,ASUS ZenBook 13 UX325EA-KG271T FHD i5-1135G7,"13.3"" (1920 x 1080 (Full HD))",Intel® Core™ i5-1135G7,16 GB DDR4,"M.2 PCIe , NVMe , 512 GB",Intel Iris Xe,Windows 10 Home PL,4339
140,ASUS ZenBook 14 UM425IA-AM004T FHD Ryzen 5 4500U,"14"" (1920 x 1080 (Full HD))",AMD Ryzen™ 5 4500U,8 GB DDR4,"M.2 PCIe , NVMe , 512 GB",AMD Radeon,Windows 10 Home PL,3499
141,ASUS ZenBook 14 UM425IA-AM023T FHD Ryzen 7 4700U,"14"" (1920 x 1080 (Full HD))",AMD Ryzen™ 7 4700U,16 GB DDR4,"M.2 PCIe , NVMe , 512 GB",AMD Radeon,Windows 10 Home PL,3999
142,ASUS ZenBook 14 UM425IA-HM067T FHD Ryzen 5 4500U,"14"" (1920 x 1080 (Full HD))",AMD Ryzen™ 5 4500U,16 GB DDR4,"M.2 PCIe , NVMe , 512 GB",AMD Radeon,Windows 10 Home PL,3999
143,ASUS ZenBook 14 UX425EA-BM063T FHD i5-1135G7,"14"" (1920 x 1080 (Full HD))",Intel® Core™ i5-1135G7,16 GB DDR4,"M.2 PCIe , NVMe , 512 GB",Intel Iris Xe,Windows 10 Home PL,4399
144,ASUS ZenBook 14 UX425JA-BM064T FHD i5-1035G1,"14"" (1920 x 1080 (Full HD))",Intel® Core™ i5-1035G1,8 GB DDR4,"M.2 PCIe , NVMe , 512 GB",Intel UHD,Windows 10 Home PL,3499
145,ASUS ZenBook 14 UX434FQ-A5016T FHD i5-10210U,"14"" (1920 x 1080 (Full HD))",Intel® Core™ i5-10210U,8 GB DDR3,"M.2 PCIe , NVMe , 512 GB",NVIDIA GeForce MX350 2GB GDDR5,Windows 10 Home PL,4599
146,ASUS ZenBook 15 UX534FAC-A8065T FHD i5-10210U,"15.6"" (1920 x 1080 (Full HD))",Intel® Core™ i5-10210U,8 GB DDR3,"M.2 PCIe , NVMe , 512 GB",Intel UHD,Windows 10 Home PL,4499
147,ASUS ZenBook Duo 14 UX482EA-HY034R FHD Dotykowy i7-1165G7,"14"" (1920 x 1080 (Full HD))",Intel® Core™ i7-1165G7,16 GB DDR4,"M.2 , NVMe , 512 GB",Intel Iris Xe,Windows 10 Pro PL,7199
148,ASUS ZenBook Duo 14 UX482EG-HY055T FHD Dotykowy i7-1165G7,"14"" (1920 x 1080 (Full HD))",Intel® Core™ i7-1165G7,16 GB DDR4,"M.2 PCIe , NVMe , 512 GB",NVIDIA GeForce MX450 2 GB GDDR6,Windows 10 Home PL,6799
149,ASUS ZenBook Duo UX481FL-HJ150T FHD i5-10210U,"14"" (1920 x 1080 (Full HD))",Intel® Core™ i5-10210U,16 GB DDR3,"M.2 , NVMe , 1 TB",NVIDIA GeForce MX250 2GB GDDR5,Windows 10 Home PL,5499
150,ASUS ZenBook Pro Duo UX581LV-H2011R UHD Dotykowy i7-10750H,"15.6"" (3840 x 2160 (Ultra HD 4K))",Intel® Core™ i7-10750H,32 GB DDR4,"M.2 PCIe , NVMe , 1 TB",NVIDIA GeForce RTX 2060 6 GB GDDR6,Windows 10 Pro PL,10999
151,ASUS ZenBook S UX393EA-HK001R 3.3K Dotykowy i7-1165G7,"13.9"" (3300 x 2200 (3.3K))",Intel® Core™ i7-1165G7,16 GB DDR4,"M.2 PCIe , NVMe , 1 TB",Intel Iris Xe,Windows 10 Pro PL,7499
152,ASUS ZenBook UM433DA-A5021T FHD Ryzen 7 3700U,"14"" (1920 x 1080 (Full HD))",AMD Ryzen™ 7 3700U,8 GB DDR4,"M.2 PCIe , NVMe , 512 GB",AMD Radeon RX Vega 10,Windows 10 Home PL,3499
153,CAVION 10.1 Mini Atom Z3735G,"10.1"" (1024 x 600)",Intel Atom® Z3735G,1 GB DDR3,"eMMC , 32 GB",Intel HD,Windows 10 Pro PL,497
154,DELL G5 15 5500 FHD i5-10300H,"15.6"" (1920 x 1080 (Full HD))",Intel® Core™ i5-10300H,8 GB DDR4,"M.2 PCIe , 512 GB",NVIDIA Geforce GTX 1650 Ti 4 GB GDDR6,Windows 10 Home PL,3699
155,DELL Inspiron 14 5401 FHD i5-1035G1,"14"" (1920 x 1080 (Full HD))",Intel® Core™ i5-1035G1,8 GB DDR4,"M.2 PCIe , NVMe , 512 GB",Intel UHD,Windows 10 Home PL,3499
156,DELL Inspiron 14 7400 QHD+ i5-1135G7,"14.5"" (2560 x 1600)",Intel® Core™ i5-1135G7,8 GB DDR4,"M.2 , NVMe , 512 GB",Intel Iris Xe,Windows 10 Home PL,4599
157,DELL Inspiron 14 7400 QHD+ i7-1165G7,"14.5"" (2560 x 1600)",Intel® Core™ i7-1165G7,16 GB DDR4,"M.2 , NVMe , 1 TB",Intel Iris Xe,Windows 10 Home PL,4999
158,DELL Inspiron 15 3501 FHD i3-1005G1,"15.6"" (1920 x 1080 (Full HD))",Intel® Core™ i3-1005G1,8 GB DDR4,"M.2 PCIe , NVMe , 256 GB",Intel UHD,Windows 10 Home (w wersji S),2109
159,DELL Latitude 3410 FHD i5-10310U,"14"" (1920 x 1080 (Full HD))",Intel® Core™ i5-10310U,8 GB DDR4,"M.2 PCIe , NVMe , 512 GB",Intel UHD,Windows 10 Pro PL,3499
160,DELL Latitude 3510 FHD i5-10310U,"15.6"" (1920 x 1080 (Full HD))",Intel® Core™ i5-10310U,8 GB DDR4,"NVMe , 512 GB",Intel UHD,Windows 10 Pro PL,3799
161,DELL Latitude 5310 FHD i5-10210U,"13.3"" (1920 x 1080 (Full HD))",Intel® Core™ i5-10210U,8 GB DDR4,"NVMe , 512 GB",Intel UHD,Windows 10 Pro PL,4499
162,DELL Latitude 5410 FHD i5-10210U,"14"" (1920 x 1080 (Full HD))",Intel® Core™ i5-10210U,8 GB DDR4,"M.2 PCIe , NVMe , 256 GB",Intel UHD,Windows 10 Pro PL,3999
163,DELL Latitude 5411 FHD i7-10850H,"14"" (1920 x 1080 (Full HD))",Intel® Core™ i7-10850H,16 GB DDR4,"NVMe , 512 GB",NVIDIA GeForce MX250 2GB GDDR5,Windows 10 Pro PL,5999
164,DELL Latitude 5510 FHD i7-10610U,"15.6"" (1920 x 1080 (Full HD))",Intel® Core™ i7-10610U,16 GB DDR4,"NVMe , 512 GB",Intel UHD,Windows 10 Pro PL,5499
165,DELL Precision 7750 FHD i7-10850H,"17.3"" (1920 x 1080 (Full HD))",Intel® Core™ i7-10850H,32 GB DDR4,"NVMe , 1 TB",NVIDIA Quadro RTX 4000 8 GB GDDR6,Windows 10 Pro PL,13499
166,DELL Vostro 14 3490 i5-10210U,"14"" (1920 x 1080 (Full HD))",Intel® Core™ i5-10210U,8 GB DDR4,"M.2 , 256 GB",Intel UHD,Windows 10 Pro PL,3699
167,DELL Vostro 14 5401 FHD i5-1035G1,"14"" (1920 x 1080 (Full HD))",Intel® Core™ i5-1035G1,8 GB DDR4,512 GB,Intel UHD,Windows 10 Pro PL,3499
168,DELL Vostro 14 5401 FHD i5-1035G1,"14"" (1920 x 1080 (Full HD))",Intel® Core™ i5-1035G1,8 GB DDR4,256 GB,Intel UHD,Windows 10 Pro PL,3199
169,DELL Vostro 14 5401 FHD i7-1065G7,"14"" (1920 x 1080 (Full HD))",Intel® Core™ i7-1065G7,8 GB DDR4,512 GB,NVIDIA GeForce MX330 2GB GDDR5,Windows 10 Pro PL,4499
170,DELL Vostro 15 3591 FHD i3-1005G1,"15.6"" (1920 x 1080 (Full HD))",Intel® Core™ i3-1005G1,8 GB DDR4,"M.2 PCIe , NVMe , 256 GB",Intel UHD,Windows 10 Pro PL,2499
171,DELL Vostro 15 5590 FHD i5-10210U,"15.6"" (1920 x 1080 (Full HD))",Intel® Core™ i5-10210U,8 GB DDR4,"NVMe , 512 GB",Intel UHD,Windows 10 Pro PL,2999
