,Title,GPU,RAM,Processor,Monitor,System,Prices
1672,Dell Vostro 3591 (2_334092_20210219163523),Brak,8 GB,Intel Core i3-1005G1,"15.6""",Windows 10 Home,3159.43
1673,Dell Vostro 3591 (53726358,Brak,16 GB,Intel Core i3-1005G1,"15.6""",Windows 10 Home,2646.19
1674,Dell Vostro 3591 (N306ZVN3591EMEA01_2101),Brak,8 GB,Intel Core i3-1005G1,"15.6""",Windows 10 Pro,3099.0
1675,Dell Vostro 3591 (N306ZVN3591EMEA01_2101_HOME),Brak,8 GB,Intel Core i3-1005G1,"15.6""",Windows 10 Home,2699.0
1676,Dell Vostro 5301 (N1123VN5301EMEA01_2105),Brak,8 GB,Intel Core i5-1135G7,"13.3""",Windows 10 Pro,3893.83
1677,Dell Vostro 5301 (N1123VN5301EMEA01_2105) 8 GB RAM,Brak,8 GB,Intel Core i5-1135G7,"13.3""",Windows 10 Pro,4209.24
1678,Dell Vostro 5301 (N1123VN5301EMEA01_2105) 8 GB RAM,Brak,8 GB,Intel Core i5-1135G7,"13.3""",Windows 10 Pro,4444.64
1679,Dell Vostro 5301 (N2128VN5301EMEA01_2105),Brak,8 GB,Intel Core i5-1135G7,"13.3""",Windows 10 Pro,3875.23
1680,Dell Vostro 5301 (N2129VN5301EMEA01_2105),NVIDIA GeForce MX350,8 GB,Intel Core i7-1165G7,"13.3""",Windows 10 Pro,4879.0
1681,Dell Vostro 5401,NVIDIA GeForce MX330,8 GB,Intel Core i7-1065G7,"14""",Windows 10 Pro,3777.0
1682,Dell Vostro 5401,Brak,8 GB,Intel Core i5-1035G1,"14""",Windows 10 Pro,3399.0
1683,Dell Vostro 5402,Brak,4 GB,Intel Core i3-1115G4,"14""",Windows 10 Pro,3510.13
1684,Dell Vostro 5402,Brak,8 GB,Intel Core i5-1035G1,"14""",Windows 10 Pro,3699.0
1685,Dell Vostro 5501 (N5106VN5501EMEA01_2101),NVIDIA GeForce MX330,8 GB,Intel Core i7-1065G7,"15.6""",Windows 10 Pro,4558.17
1686,Dell Vostro 5502,Brak,8 GB,Intel Core i5-1135G7,"15.6""",Windows 10 Pro,3977.06
1687,Dell Vostro 5502 (N2000VN5502EMEA01_2105),NVIDIA GeForce MX330,8 GB,Intel Core i5-1135G7,"15.6""",Windows 10 Pro,5124.39
1688,Dell Vostro 5502 (N2000VN5502EMEA01_2105),NVIDIA GeForce MX330,8 GB,Intel Core i5-1135G7,"15.6""",Windows 10 Pro,4188.74
1689,Dell Vostro 5502 (N2000VN5502EMEA01_2105_hom),NVIDIA GeForce MX330,8 GB,Intel Core i5-1135G7,"15.6""",Windows 10 Home,4948.59
1690,Dell Vostro 5502 (N2000VN5502EMEA01_2105_ubu_FP),NVIDIA GeForce MX330,8 GB,Intel Core i5-1135G7,"15.6""",Linux,4542.28
1691,Dell Vostro 5502 (N2001VN5502EMEA01_2105),NVIDIA GeForce MX330,16 GB,Intel Core i7-1165G7,"15.6""",Windows 10 Pro,5190.0
1692,Dell Vostro 5502 (N2002VN5502EMEA01_2105),NVIDIA GeForce MX330,8 GB,Intel Core i7-1165G7,"15.6""",Windows 10 Pro,4705.8
1693,Dell Vostro 5502 (N5104VN5502EMEA01_2105),Brak,8 GB,Intel Core i5-1135G7,"15.6""",Windows 10 Pro,4647.16
1694,Dell Vostro 5502 (N5104VN5502EMEA01_2105_hom),Brak,8 GB,Intel Core i5-1135G7,"15.6""",Windows 10 Home,4486.78
1695,Dell Vostro 5502 (N5104VN5502EMEA01_2105_ubu_FP),Brak,8 GB,Intel Core i5-1135G7,"15.6""",Linux,4062.81
1696,Dell Vostro 5502 (N5111VN5502EMEA01_2105),Brak,8 GB,Intel Core i5-1135G7,"15.6""",Windows 10 Pro,3643.8
1697,Dell Vostro 5502 (N5111VN5502EMEA01_2105),Brak,8 GB,Intel Core i5-1135G7,"15.6""",Windows 10 Pro,3699.0
1698,Dell Vostro 5502 (N6000VN5502EMEA01_2105),Brak,4 GB,Intel Core i3-1115G4,"15.6""",Windows 10 Pro,3442.52
1699,Dell Vostro 5502 (N6000VN5502EMEA01_2105),Brak,4 GB,Intel Core i3-1115G4,"15.6""",Windows 10 Pro,4153.67
1700,Dell Vostro 5502 (N6000VN5502EMEA01_2105_hom),Brak,4 GB,Intel Core i3-1115G4,"15.6""",Windows 10 Home,3977.0
1701,Dell Vostro 5502 (N6000VN5502EMEA01_2105_ubu_FP),Brak,4 GB,Intel Core i3-1115G4,"15.6""",Linux,3553.08
